winner,rounds,loser
RDE IND GillStoleMyRide,2-0,DrewMorri7
LOM J.Miller,2-0,Sacred
UM RMZ,2-0,alistarr
Alioune85,2-0,SnoopyLooker
Sacred,2-0,DrewMorri7
alistarr,2-0,SnoopyLooker
RDE IND GillStoleMyRide,2-0,LOM J.Miller
UM RMZ,2-0,Alioune85
Alioune85,2-0,Sacred
LOM J.Miller,2-0,alistarr
UM RMZ,2-0,RDE IND GillStoleMyRide
Alioune85,2-0,LOM J.Miller
Alioune85,2-1,RDE IND GillStoleMyRide
VS | RDE | Edinbulba,2-0,YMB9 Dutchie
IND Boltstrike,2-0,A4 | Andre
BSC | Hadoshrooms,2-0,lSteveBoxl
FrostyNuggs,2-0,Dinasaur King
VS | RDE | Edinbulba,2-0,IND Boltstrike
FrostyNuggs,2-0,BSC | Hadoshrooms
YMB9 Dutchie,2-0,A4 | Andre
Dinasaur King,2-0,lSteveBoxl
BSC | Hadoshrooms,2-0,YMB9 Dutchie
IND Boltstrike,2-0,Dinasaur King
IND Boltstrike,2-0,BSC | Hadoshrooms
VS | RDE | Edinbulba,2-0,FrostyNuggs
FrostyNuggs,2-0,IND Boltstrike
Infexious,2-0,RDE Saltmine
Boss Don DekuTree,2-0,Ansatsusha
BFL | Zaus,2-0,RGT Murasaki
Reimalken,2-0,Sono
Infexious,2-0,Boss Don DekuTree
BFL | Zaus,2-0,Reimalken
BFL | Zaus,2-0,Infexious
RDE Saltmine,2-0,Ansatsusha
RGT Murasaki,2-0,Sono
RDE Saltmine,2-0,Reimalken
Boss Don DekuTree,2-0,RGT Murasaki
Boss Don DekuTree,2-0,RDE Saltmine
Infexious,2-0,Boss Don DekuTree
Rize IND | Pro Fluke,2-0,RDE Oscar
Apollo Steed,2-0,Madvillain
Brylarke,2-0,Flupty
RDE Sefsins,2-0,Sprint
Rize IND | Pro Fluke,2-1,Apollo Steed
RDE Sefsins,2-1,Brylarke
Rize IND | Pro Fluke,2-0,RDE Sefsins
RDE Oscar,2-0,Madvillain
Sprint,2-1,Flupty
Brylarke,2-1,RDE Oscar
Apollo Steed,2-1,Sprint
Apollo Steed,2-0,Brylarke
Apollo Steed,2-0,RDE Sefsins
VS GM Punk,2-0,Shazy
PriestessOS,2-1,Steve
BSC | Shek,2-0,Marzipan
RDE | Wonder Ham,2-1,ash
VS GM Punk,2-0,PriestessOS
BSC | Shek,2-0,RDE | Wonder Ham
Shazy,2-0,Steve
ash,2-1,Marzipan
Shazy,2-1,RDE | Wonder Ham
ash,2-0,PriestessOS
Shazy,2-0,ash
BSC | Shek,2-1,VS GM Punk
VS GM Punk,2-0,Shazy
WSO Andreas,2-0,Wilksy15
faisaldante23,2-1,matashoo
GATK Dr Sloan,2-0,Terra
RobbieQ_108,2-0,Fsh
WSO Andreas,2-0,faisaldante23
GATK Dr Sloan,2-1,RobbieQ_108
WSO Andreas,2-0,GATK Dr Sloan
matashoo,2-0,Wilksy15
Fsh,2-1,Terra
RobbieQ_108,2-0,matashoo
faisaldante23,2-1,Fsh
RobbieQ_108,2-0,faisaldante23
RobbieQ_108,2-0,GATK Dr Sloan
MBA Yingah,2-0,VS TSS Paladin
GL| Saunic,2-0,Emerald Chaos
Wiseblade,2-0,ThunderLips
ShaunJS,2-0,MBA Yingah
GL| Saunic,2-0,Wiseblade
GL| Saunic,2-0,ShaunJS
Emerald Chaos,2-0,ThunderLips
Wiseblade,2-0,VS TSS Paladin
Emerald Chaos,2-0,MBA Yingah
Wiseblade,2-0,Emerald Chaos
Wiseblade,2-0,ShaunJS
MBA | Spartan Throne,2-0,The3rdChild
GxC Damacus,2-0,Hagen
IND Incognitus,2-0,RS|D4RK ONION
GxC Damacus,2-0,IND Incognitus
VS Milligano,2-0,MBA | Spartan Throne
VS Milligano,2-0,GxC Damacus
RS|D4RK ONION,2-0,Hagen
IND Incognitus,2-0,The3rdChild
RS|D4RK ONION,2-0,MBA | Spartan Throne
IND Incognitus,2-0,RS|D4RK ONION
GxC Damacus,2-0,IND Incognitus
CeX | Goukifafa,2-0,Hosea Fidel
SFO ZXMX,2-0,TWS Gibbo
IND | MUG | rDubstepper,2-0,David Cameron.gov
IND | MUG | rDubstepper,2-0,SFO ZXMX
RS | Ladnopoka,2-0,CeX | Goukifafa
RS | Ladnopoka,2-0,IND | MUG | rDubstepper
David Cameron.gov,2-0,TWS Gibbo
CeX | Goukifafa,2-0,David Cameron.gov
SFO ZXMX,2-0,Hosea Fidel
CeX | Goukifafa,2-0,SFO ZXMX
CeX | Goukifafa,2-1,IND | MUG | rDubstepper
Phoenix,2-0,SCC Lark0
RZR CG Problem X,2-0,Phoenix
RDE | Sleight,2-0,ED | Jinty
Codynp,2-0,NLG Armdevil
Codynp,2-0,RDE | Sleight
NLG Armdevil,2-0,ED | Jinty
RDE | Sleight,2-0,SCC Lark0
NLG Armdevil,2-0,Phoenix
RDE | Sleight,2-0,NLG Armdevil
RZR CG Problem X,2-0,Codynp
Codynp,2-0,RDE | Sleight
RDE ShiftingShadows,2-0,MrBungle
UM ISDD,2-0,Clangers
IND | SFO | omh,2-0,Zombie Brian
RS|Cobelcog,2-0,RDE ShiftingShadows
IND | SFO | omh,2-0,UM ISDD
IND | SFO | omh,2-0,RS|Cobelcog
Clangers,2-0,Zombie Brian
UM ISDD,2-0,MrBungle
Clangers,2-0,RDE ShiftingShadows
UM ISDD,2-0,Clangers
UM ISDD,2-1,RS|Cobelcog
BSC | ultrasquaddy,2-0,OneMoreThing
BSC | ultrasquaddy,2-0,EruXiahou
SFO Broodoo,2-0,RS|Simon “The Truth” Lau
Dangief,2-0,MMG | Spuck
SFO Broodoo,2-0,Dangief
RS|Simon “The Truth” Lau,2-0,MMG | Spuck
Dangief,2-1,OneMoreThing
EruXiahou,2-0,RS|Simon “The Truth” Lau
Dangief,2-1,EruXiahou
BSC | ultrasquaddy,2-0,SFO Broodoo
Dangief,2-1,SFO Broodoo
IND.MDZ ButterBeefBison,2-0,UnderAge
JLM,2-0,RST | Ruffdawg
RDE | Samurai Drew,2-0,RS|KO|Kiki
Rize | Ind | Zain,2-0,IND.MDZ ButterBeefBison
RDE | Samurai Drew,2-0,JLM
Rize | Ind | Zain,2-1,RDE | Samurai Drew
RS|KO|Kiki,2-0,RST | Ruffdawg
JLM,2-0,UnderAge
IND.MDZ ButterBeefBison,2-0,RS|KO|Kiki
IND.MDZ ButterBeefBison,2-0,JLM
IND.MDZ ButterBeefBison,2-1,RDE | Samurai Drew
Scavenger XIII,2-0,VexatiousIdler
BSC | RUOK,2-0,IND.SpB | Ixion
Dawgtanian,2-0,SFO|TSCooler
Muirtron,2-0,Scavenger XIII
Dawgtanian,2-0,BSC | RUOK
Dawgtanian,2-0,Muirtron
IND.SpB | Ixion,2-0,SFO|TSCooler
BSC | RUOK,2-0,VexatiousIdler
IND.SpB | Ixion,2-0,Scavenger XIII
IND.SpB | Ixion,2-0,BSC | RUOK
IND.SpB | Ixion,2-0,Muirtron
flawlessdeku,2-0,SFO | Willo
RST Parable Greg,2-0,Ornstein
VSF | JustinXavier,2-0,JGT1201
JGT1201,2-0,Ornstein
RST Parable Greg,2-0,VSF | JustinXavier
BTM Hurricane 237,2-0,flawlessdeku
SFO | Willo,2-0,VSF | JustinXavier
flawlessdeku,2-0,JGT1201
BTM Hurricane 237,2-0,RST Parable Greg
flawlessdeku,2-0,SFO | Willo
flawlessdeku,2-0,RST Parable Greg
Doom,2-0,SenseiSoul
BTM Brian,2-0,JLC
ED | Kyros,2-0,VS Hustle Crowe
Doom,2-0,Chewmandinga
ED | Kyros,2-0,BTM Brian
ED | Kyros,2-0,Doom
JLC,2-0,VS Hustle Crowe
BTM Brian,2-1,SenseiSoul
Chewmandinga,2-0,JLC
BTM Brian,2-0,Chewmandinga
BTM Brian,2-0,Doom
ED|LavellUp,2-0,Dread
RS|Ayjayirl,2-0,Dr Hype
SFO Benners,2-0,BFL | Popidge
VS Bigfool,2-0,RST | Ryrie
ED|LavellUp,2-0,RS|Ayjayirl
VS Bigfool,2-0,SFO Benners
ED|LavellUp,2-0,VS Bigfool
Dread,2-0,Dr Hype
BFL | Popidge,2-0,RST | Ryrie
SFO Benners,2-0,Dread
RS|Ayjayirl,2-0,BFL | Popidge
SFO Benners,2-0,RS|Ayjayirl
VS Bigfool,2-1,SFO Benners
The Street Writer,2-0,King of The Jews
JMasters,2-0,The Street Writer
UM Shoryusengan,2-0,RST Mambo Penguin
Sol,2-0,The BP Tank
UM Shoryusengan,2-0,Sol
UM Shoryusengan,2-0,JMasters
RST Mambo Penguin,2-0,The BP Tank
King of The Jews,2-0,Sol
The Street Writer,2-0,RST Mambo Penguin
The Street Writer,2-0,King of The Jews
The Street Writer,2-0,JMasters
YMB9 PappaCrimson,2-0,Joel Bowl
Afii,2-0,EX2 Roy Munson
Iron Bullet,2-0,RS|Mikenyan
YMB9 PappaCrimson,2-1,Roukanken
Afii,2-0,Iron Bullet
Afii,2-0,YMB9 PappaCrimson
RS|Mikenyan,2-0,EX2 Roy Munson
Iron Bullet,2-0,Joel Bowl
Roukanken,2-0,RS|Mikenyan
Iron Bullet,2-1,Roukanken
YMB9 PappaCrimson,2-0,Iron Bullet
IND | Boltstrike,3-2,VS GM Punk
Rize IND Zain,2-0,The Street Writer
Codynp,2-0,Strider
MCZ Tokido,2-0,IND | Boltstrike
RZR CG Problem X,2-0,Rize IND Zain
MCZ Tokido,2-1,RZR CG Problem X
Codynp,2-0,RDE Edibulba
UM Shoryusengan,2-1,IND.MDZ ButterBeefBison
UM Shoryusengan,2-1,BSC Shek
Infexious,2-0,Apollo Steed
BSC Ultrasquaddy,2-0,YMB9 | PappaCrimson
UM | ISDD,2-1,BSC Nevillebamshew
Afii,2-1,Dangief
MCZ Mago,2-0,Infexious
OMH,2-0,BSC Ultrasquaddy
UM | ISDD,2-0,BFL | Zaus
Rize IND Pro Fluke,2-1,Afii
Alioune85,2-0,Robbie Q
VS | Bigfool,2-0,Dawgtanian
RDE Akraat,2-0,CEX | Goukifafa
IND Ixion,2-0,ED | Lavellup
RZR Xian,2-0,Alioune85
VS | Bigfool,2-0,RS | Ladnopoka
UM RMZ,2-0,RDE Akraat
WSO Andreas,2-0,IND Ixion
WSO Andreas,2-1,UM RMZ
UM | ISDD,2-0,Rize IND Pro Fluke
MCZ Mago,2-0,OMH
UM Shoryusengan,2-1,Codynp
MCZ Tokido,2-0,UM Shoryusengan
UM Tyrant,2-1,Wiseblade
BTM Hurricane 237,2-1,BTM Brian
GxC | Damascus,2-0,YMB9 Sho
flawlessdeku,2-0,ED Kyros
Ryan Hart,2-0,UM Tyrant
BTM Hurricane 237,2-1,VS | Milligano
Luffy,2-0,GxC | Damascus
GL | Saunic,2-1,flawlessdeku
Ryan Hart,2-1,BTM Hurricane 237
Luffy,2-0,GL | Saunic
RZR Xian,2-0,VS | Bigfool
RZR Xian,2-0,WSO Andreas
MCZ Mago,2-0,UM | ISDD
Ryan Hart,2-1,Luffy
flawlessdeku,2-0,VS GM Punk
GxC | Damascus,2-0,The Street Writer
VS | Milligano,2-0,Strider
UM Tyrant,2-0,IND.MDZ ButterBeefBison
GxC | Damascus,2-0,flawlessdeku
VS | Milligano,2-1,UM Tyrant
GxC | Damascus,2-0,UM RMZ
VS | Milligano,2-0,VS | Bigfool
VS | Milligano,2-0,GxC | Damascus
Wiseblade,2-1,BSC Shek
RDE Edibulba,2-0,BTM Brian
YMB9 Sho,2-1,Rize IND Zain
RDE Edibulba,2-1,Wiseblade
IND | Boltstrike,2-1,ED Kyros
IND | Boltstrike,2-0,YMB9 Sho
OMH,2-1,IND | Boltstrike
Rize IND Pro Fluke,2-0,RDE Edibulba
Rize IND Pro Fluke,2-0,OMH
Apollo Steed,2-1,IND Ixion
YMB9 | PappaCrimson,2-1,RDE Akraat
BSC Nevillebamshew,2-0,RS | Ladnopoka
Alioune85,2-0,Dangief
Alioune85,2-0,BSC Nevillebamshew
BTM Hurricane 237,2-0,Alioune85
Apollo Steed,2-0,YMB9 | PappaCrimson
GL | Saunic,2-1,Apollo Steed
BTM Hurricane 237,2-0,GL | Saunic
UM Shoryusengan,2-1,BTM Hurricane 237
Rize IND Pro Fluke,2-1,WSO Andreas
Afii,2-0,Robbie Q
Dawgtanian,2-0,BFL | Zaus
Afii,2-0,Dawgtanian
BSC Ultrasquaddy,2-1,CEX | Goukifafa
Infexious,2-0,ED | Lavellup
Infexious,2-0,BSC Ultrasquaddy
RZR CG Problem X,2-0,Infexious
Afii,2-0,Codynp
RZR CG Problem X,2-1,Afii
Luffy,2-0,RZR CG Problem X
UM | ISDD,2-0,VS | Milligano
MCZ Tokido,3-0,RZR Xian
MCZ Mago,3-1,Ryan Hart
Rize IND Pro Fluke,3-0,UM Shoryusengan
Luffy,3-1,UM | ISDD
Ryan Hart,3-2,Rize IND Pro Fluke
Luffy,3-2,RZR Xian
MCZ Mago,3-0,MCZ Tokido
Luffy,3-0,Ryan Hart
MCZ Tokido,3-2,Luffy
MCZ Mago,3-2,MCZ Tokido
