winner,rounds,loser
KUMASA,2-0,小捷
Gonzales Seed13,2-0,ssvs-Allen
豪鬼王/Tomy Huang,2-0,阿德
Italian a Seed4,2-0,KUMASA
Gonzales Seed13,2-0,豪鬼王/Tomy Huang
Italian a Seed4,2-0,Gonzales Seed13
David Copperfield,2-0,OHDOMAI
Hua0915,2-0,吉米
謝漢傑,2-0,reco子親愛的
eltrouble,2-0,格雷特
阿德,2-0,David Copperfield
ssvs-Allen,2-0,Hua0915
謝漢傑,2-0,小捷
TOBY LIN,2-0,eltrouble
阿德,2-0,ssvs-Allen
TOBY LIN,2-0,謝漢傑
阿德,2-0,KUMASA
豪鬼王/Tomy Huang,2-0,TOBY LIN
豪鬼王/Tomy Huang,2-0,阿德
Gonzales Seed13,2-0,豪鬼王/Tomy Huang
Italian a Seed4,2-0,Gonzales Seed13
Tonpy Seed3,2-0,ATOM
玩具,2-0,aski
Rockpon,2-0,泰瑞鴿
CN,2-0,SMAN
Misse Seed14,2-0,Minde
Sion,2-0,手把老桑
小鍾,2-0,Xiao_Zhu(France)
五股淫棍王,2-0,DNA
ATOM,2-0,aski
泰瑞鴿,2-0,SMAN
Minde,2-0,手把老桑
DNA,2-0,Xiao_Zhu(France)
Tonpy Seed3,2-0,玩具
Rockpon,2-0,CN
Misse Seed14,2-0,Sion
五股淫棍王,2-0,小鍾
ATOM,2-0,小鍾
Sion,2-0,泰瑞鴿
CN,2-0,Minde
玩具,2-0,DNA
Tonpy Seed3,2-0,Rockpon
Misse Seed14,2-0,五股淫棍王
ATOM,2-0,Sion
CN,2-0,玩具
Misse Seed14,2-0,Tonpy Seed3
Rockpon,2-0,ATOM
五股淫棍王,2-0,CN
Rockpon,2-0,五股淫棍王
Tonpy Seed3,2-0,Rockpon
Misse Seed14,2-0,Tonpy Seed3
YBK Shiro Seed6,2-0,KB8
Talkbow,2-0,vetash32
YBK Shiro Seed6,2-0,Talkbow
Yoro,2-0,MillerTime(USA)
YBK Kim1234 Seed11,2-0,satc1014
sasuke,2-0,偉智/WEDI
Daimon,2-0,Jay
小靠,2-0,HKE | Toyz(Hong Kong)
TWMSP,2-0,操查理
KB8,2-0,vetash32
MillerTime(USA),2-0,偉智/WEDI
Jay,2-0,satc1014
操查理,2-0,HKE | Toyz(Hong Kong)
Yoro,2-0,sasuke
YBK Kim1234 Seed11,2-0,Daimon
小靠,2-0,TWMSP
TWMSP,2-0,KB8
Daimon,2-0,MillerTime(USA)
Jay,2-0,sasuke
操查理,2-0,Talkbow
Daimon,2-0,TWMSP
Jay,2-0,操查理
YBK Shiro Seed6,2-0,Yoro
YBK Kim1234 Seed11,2-0,小靠
YBK Shiro Seed6,2-0,YBK Kim1234 Seed11
Daimon,2-0,Yoro
小靠,2-0,Jay
Daimon,2-0,小靠
YBK Kim1234 Seed11,2-0,Daimon
YBK Shiro Seed6,2-0,YBK Kim1234 Seed11
Chuan Seed7,2-0,鍾竹軒/Hsuan
Winston Chen,2-0,LELE
crustiestwolf33,2-0,Wataru (Japan)
快打傳奇LanLan,2-0,男鴿
KOK,2-0,Maxima
tom90957-TW,2-0,andywuzc
CriminalDaDa,2-0,Zoro
小龍包,0-2,皮皮/PiPi
LELE,2-0,鍾竹軒/Hsuan
Wataru (Japan),2-0,男鴿
Maxima,2-0,andywuzc
Zoro,2-0,皮皮/PiPi
Chuan Seed7,2-0,Winston Chen
快打傳奇LanLan,2-0,crustiestwolf33
KOK,2-0,tom90957-TW
CriminalDaDa,2-0,小龍包
LELE,2-0,小龍包
Wataru (Japan),2-0,tom90957-TW
crustiestwolf33,2-0,Maxima
Zoro,2-0,Winston Chen
Chuan Seed7,2-0,快打傳奇LanLan
KOK,2-0,CriminalDaDa
Wataru (Japan),2-0,LELE
Zoro,2-0,crustiestwolf33
Wataru (Japan),2-0,快打傳奇LanLan
Chuan Seed7,2-0,KOK
Zoro,2-0,CriminalDaDa
Wataru (Japan),2-0,Zoro
KOK,2-0,Wataru (Japan)
Chuan Seed7,2-0,KOK
CCG Humanbomb,2-0,石頭
宗慶/k,2-0,Tony cha cha
ONIGIRI KAI (Japan),2-0,歐妹/omega
小布,2-0,大俠趕羚羊
SASA (Japan),2-0,AllenK
睡大/sleeplong,2-0,屠村客
Willy,2-0,園長
南哥的小戀人/陳二,2-0,阿豪
Tony cha cha,2-0,石頭
歐妹/omega,2-0,大俠趕羚羊
AllenK,2-0,屠村客
園長,2-0,阿豪
CCG Humanbomb,2-0,宗慶/k
ONIGIRI KAI (Japan),2-0,小布
SASA (Japan),2-0,睡大/sleeplong
Willy,2-0,南哥的小戀人/陳二
南哥的小戀人/陳二,2-0,Tony cha cha
歐妹/omega,2-0,睡大/sleeplong
小布,2-0,AllenK
宗慶/k,2-0,園長
ONIGIRI KAI (Japan),2-0,CCG Humanbomb
SASA (Japan),2-0,Willy
歐妹/omega,2-0,南哥的小戀人/陳二
宗慶/k,2-0,小布
ONIGIRI KAI (Japan),2-0,SASA (Japan)
CCG Humanbomb,2-0,歐妹/omega
宗慶/k,2-0,Willy
CCG Humanbomb,2-0,宗慶/k
SASA (Japan),2-0,CCG Humanbomb
ONIGIRI KAI (Japan),2-0,SASA (Japan)
StromKubo (Japan),2-0,Reiketsu (Japan)
ITAZAN,2-0,Sketch (USA)
Jiewa (China),2-0,Inco (Japan)
MISSE (Japan),2-1,YBK | SHIRO (Japan)
Gonzales (Japan),2-0,CodyNP (HongKong)
KOK (Japan),2-0,SASA (Japan)
TONPY (Japan),2-0,YBK | KIM1234 (Japan)
CHUAN (Malaysia),2-0,ONIKIRI KAI (Japan)
Gonzales (Japan),2-0,YBK | SHIRO (Japan)
TONPY (Japan),2-0,Sketch (USA)
Reiketsu (Japan),2-1,KOK (Japan)
Jiewa (China),2-1,ONIKIRI KAI (Japan)
ITAZAN,3-1,StromKubo (Japan)
Jiewa (China),3-2,Gonzales (Japan)
MISSE (Japan),3-1,CHUAN (Malaysia)
TONPY (Japan),3-0,Reiketsu (Japan)
StromKubo (Japan),3-0,Jiewa (China)
CHUAN (Malaysia),3-0,TONPY (Japan)
MISSE (Japan),3-1,ITAZAN
StromKubo (Japan),3-0,CHUAN (Malaysia)
StromKubo (Japan),3-1,ITAZAN
MISSE (Japan),3-2,StromKubo (Japan)
