winner,rounds,loser
MBA | Dread,2-1,ED | The Claw Of God
ikimashouu,2-1,blag
ikimashouu,2-1,MBA | Dread
RH | F4RHANN,2-1,CeX | Goukifafa
RH | F4RHANN,2-1,VS | The Janitor
ikimashouu,2-1,LOM | Wiseblade
SFO | WhoShabzThisIs,2-1,Noodles
SFO | WhoShabzThisIs,2-1,Fi3nD x GODMODE
RIZE | IND Boltstrike,2-1,SFO | WhoShabzThisIs
Clangers,2-1,SWW | BaconJacob
VwS | LOM J.Miller,2-1,Clangers
MD | Luffy,2-1,Packz
BTM | GuN SLinGa,2-1,Battle Tiger | UM Isam
ikimashouu,2-1,RH | F4RHANN
Packz,2-1,ikimashouu
RIZE | IND Boltstrike,2-1,VwS | LOM J.Miller
Battle Tiger | UM Isam,2-1,RIZE | IND Boltstrike
Packz,2-1,Battle Tiger | UM Isam
MD | Luffy,2-0,BTM | GuN SLinGa
Packz,2-0,BTM | GuN SLinGa
Ninja Shinryu,2-1,Chris Len
F-Word,2-1,Ninja Shinryu
SFO | Benners,2-1,MBA | NLG_Armdevil
F-Word,2-1,SFO | Benners
Notorious A.L.B,2-1,Megaphonejones66
Zaus,2-1,Notorious A.L.B
ED | Lavell Up,2-1,Pun Pun
ED | Lavell Up,2-1,Black2DaFutureZ
Zaus,2-1,ED | Lavell Up
F-Word,2-1,Zaus
BFL | Popidge,2-1,Volkmair
ProfX,2-1,Sean9217
BTM | Real Menace,2-1,BFL | Popidge
ProfX,2-1,Captain Steel
BTM | Real Menace,2-1,ProfX
Daniel Dillips,2-1,Duke
SMBF | Nebbiez,2-1,Daniel Dillips
SNX,2-1,near
SWW | TeaRod,2-1,SNX
SMBF | Nebbiez,2-1,SWW | TeaRod
BTM | Real Menace,2-1,SMBF | Nebbiez
Fatso_523,2-1,Tiger Zebra
Battle Tiger | UM ISDD,2-1,Fatso_523
SFO | Dragonman,2-1,DS | Jamusan
Battle Tiger | UM ISDD,2-1,SFO | Dragonman
Kubisa,2-1,TWS | TWS Gibbo
Cobelcog,2-1,Kubisa
Sprint,2-1,Goukki
BSC | RUOK,2-1,Sprint
Cobelcog,2-1,BSC | RUOK
Battle Tiger | UM ISDD,2-1,Cobelcog
Tani,2-1,ED | Undeadjim
RIZE | BTM Brian,2-1,Tani
LOM | Slim,2-1,USFAL | boony12
RIZE | BTM Brian,2-1,LOM | Slim
HCLiam,2-1,Thurrabred
smL | Solidjin,2-1,HCLiam
SFO | ZXMX,2-1,happyton
SFO | ZXMX,2-1,SWW | Crumpets
smL | Solidjin,2-1,SFO | ZXMX
RIZE | BTM Brian,2-1,smL | Solidjin
SWW | Crumpets,2-1,Chris Len
HCLiam,2-1,SWW | Crumpets
HCLiam,2-1,SWW | TeaRod
USFAL | boony12,2-1,Megaphonejones66
Pun Pun,2-1,Tani
Pun Pun,2-1,USFAL | boony12
Pun Pun,2-1,ProfX
Pun Pun,2-1,HCLiam
Pun Pun,2-1,Cobelcog
Sprint,2-1,Volkmair
Kubisa,2-1,Sean9217
Sprint,2-1,Kubisa
ED | Lavell Up,2-1,Sprint
DS | Jamusan,2-1,Duke
Fatso_523,2-1,near
DS | Jamusan,2-1,Fatso_523
SFO | Benners,2-1,DS | Jamusan
SFO | Benners,2-1,ED | Lavell Up
smL | Solidjin,2-1,SFO | Benners
SNX,2-1,Tiger Zebra
Daniel Dillips,2-1,SNX
SFO | ZXMX,2-1,Daniel Dillips
TWS | TWS Gibbo,2-1,Captain Steel
BFL | Popidge,2-1,Goukki
TWS | TWS Gibbo,2-1,BFL | Popidge
TWS | TWS Gibbo,2-1,LOM | Slim
SFO | ZXMX,2-1,TWS | TWS Gibbo
Zaus,2-1,SFO | ZXMX
ED | Undeadjim,2-1,Black2DaFutureZ
ED | Undeadjim,2-1,Notorious A.L.B
BSC | RUOK,2-1,ED | Undeadjim
MBA | NLG_Armdevil,2-1,Thurrabred
Ninja Shinryu,2-1,happyton
Ninja Shinryu,2-1,MBA | NLG_Armdevil
Ninja Shinryu,2-1,SFO | Dragonman
Ninja Shinryu,2-1,BSC | RUOK
Ninja Shinryu,2-1,SMBF | Nebbiez
Battle Tiger | UM ISDD,2-1,RIZE | BTM Brian
smL | Solidjin,2-1,Pun Pun
Ninja Shinryu,2-1,Zaus
RIZE | BTM Brian,2-1,Ninja Shinryu
F-Word,2-0,BTM | Real Menace
smL | Solidjin,2-1,BTM | Real Menace
smL | Solidjin,2-0,RIZE | BTM Brian
F-Word,2-0,Battle Tiger | UM ISDD
smL | Solidjin,2-1,Battle Tiger | UM ISDD
Bye,,InsertBrainHere
KIG | Problem X,,Bye
SWW | TheBirdLives,2-1,SFO | Tiger Flowsion
KIG | Problem X,2-1,SWW | TheBirdLives
o|< (Stickman),2-1,OENOMAUS
o|< (Stickman),2-1,Skarfelt
kaworu,2-1,SCC | UNW4NT3D
BFL | MowatMan,2-1,kaworu
o|< (Stickman),2-1,BFL | MowatMan
ED | Aixy,2-1,clev
IND | ALaughingGoblin,2-1,ED | Aixy
LOM | WarTeacher,2-1,Shaggy
LOM | WarTeacher,2-1,SMBF | Vertigo
IND | ALaughingGoblin,2-1,LOM | WarTeacher
LK SOBAT,2-1,FireFist
RIZE | Milligano,2-1,LK SOBAT
ED | Wilksy15,,SSRCG | Van Slab
SWW | Phoenix,2-1,ED | Wilksy15
RIZE | Milligano,2-1,SWW | Phoenix
Jay Jayy 90,2-1,ED | Big Man Baird
Raygo Blayde | Afii,2-1,Jay Jayy 90
SFO | The Pro fka Pro Ho,2-1,DS | Pak_Mei
Raygo Blayde | Afii,2-1,SFO | The Pro fka Pro Ho
MrBungle,2-1,RST | Launchpad McRoss
Fuzzy,2-1,MrBungle
MBA | Revenge,,iREP SHADZ
BSC | Shek,2-1,MBA | Revenge
Fuzzy,2-1,BSC | Shek
Fuzzy,2-1,Raygo Blayde | Afii
TheZuluWarrior,,noctis_786
Battle Tiger | UM Tyrant,2-1,TheZuluWarrior
WSO | Logan,,RhinoStarr
Battle Tiger | UM Tyrant,2-1,WSO | Logan
Jason,2-1,Mr.E
Jason,2-1,smL | Shinmael
MBA | The BP Tank,2-1,KB-Zey
SFO | Brylarke,2-1,MBA | The BP Tank
SFO | Brylarke,2-1,Jason
MBA | The BP Tank,,InsertBrainHere
smL | Shinmael,2-1,MBA | The BP Tank
smL | Shinmael,2-1,SWW | Phoenix
OENOMAUS,2-1,RhinoStarr
SCC | UNW4NT3D,2-1,TheZuluWarrior
SCC | UNW4NT3D,2-1,OENOMAUS
LOM | WarTeacher,2-1,SCC | UNW4NT3D
LOM | WarTeacher,2-1,smL | Shinmael
clev,2-1,MBA | Revenge
MrBungle,,Shaggy
FireFist,2-1,DS | Pak_Mei
Jay Jayy 90,,SSRCG | Van Slab
FireFist,,Jay Jayy 90
SWW | TheBirdLives,2-1,FireFist
ED | Wilksy15,2-1,ED | Big Man Baird
ED | Wilksy15,2-1,LK SOBAT
RST | Launchpad McRoss,2-1,SMBF | Vertigo
ED | Aixy,,iREP SHADZ
ED | Aixy,2-1,RST | Launchpad McRoss
kaworu,,noctis_786
kaworu,2-1,Skarfelt
BSC | Shek,2-1,kaworu
SFO | Tiger Flowsion,,Mr.E
KB-Zey,,Bye
SFO | Tiger Flowsion,,KB-Zey
SFO | The Pro fka Pro Ho,2-1,SFO | Tiger Flowsion
SFO | The Pro fka Pro Ho,2-1,BSC | Shek
KIG | Problem X,2-1,o|< (Stickman)
RIZE | Milligano,2-1,IND | ALaughingGoblin
Fuzzy,2-1,Raygo Blayde | Afii
Battle Tiger | UM Tyrant,2-1,SFO | Brylarke
Raygo Blayde | Afii,2-1,LOM | WarTeacher
clev,2-1,MrBungle
clev,2-1,BFL | MowatMan
SWW | TheBirdLives,2-1,clev
SFO | Brylarke,2-1,SWW | TheBirdLives
Jason,2-1,ED | Wilksy15
WSO | Logan,2-1,ED | Aixy
Jason,2-1,WSO | Logan
o|< (Stickman),2-1,Jason
IND | ALaughingGoblin,2-1,SFO | The Pro fka Pro Ho
KIG | Problem X,2-1,RIZE | Milligano
Battle Tiger | UM Tyrant,2-1,Fuzzy
Raygo Blayde | Afii,2-1,SFO | Brylarke
Raygo Blayde | Afii,2-1,RIZE | Milligano
IND | ALaughingGoblin,2-1,o|< (Stickman)
Fuzzy,2-1,IND | ALaughingGoblin
Raygo Blayde | Afii,2-1,Fuzzy
KIG | Problem X,2-0,Battle Tiger | UM Tyrant
Battle Tiger | UM Tyrant,2-1,Raygo Blayde | Afii
ChaosTIME_,2-1,ED | Neodurge
RIZE | Infexious,2-1,ChaosTIME_
SMBF | YTS ButtFace,2-1,SFO | Nargrull
RDE | Akraat,2-1,FLB | Victor
RDE | Akraat,2-1,ED | Kyros
JD,2-1,BFL | Mr Stabbie
JD,2-1,CONFZ
RDE | Akraat,2-1,JD
RIZE | Infexious,2-1,SMBF | YTS ButtFace
VSF | Jinty,2-1,Star
Battle Tiger | UM RMZ,2-1,VSF | Jinty
MK Tux,2-1,VS | Hustle Crowe
PlatinumKid,2-1,MK Tux
Battle Tiger | UM RMZ,2-1,PlatinumKid
VapourZz I,2-1,Radirgy
GxC | Damascus,2-1,VapourZz I
SWW | Rycroft,2-1,Plats
SWW | Rycroft,2-1,BSC | Hadoshrooms
GxC | Damascus,2-1,SWW | Rycroft
Rob-ZFR,2-1,Shindoru
Pro Fluke,2-1,Rob-ZFR
Jiji,2-1,MBA | Yingah
Pro Fluke,2-1,Jiji
MMG | Abswing,2-1,Kaptain
MMG | Abswing,2-1,DS | Rythla
LOM | Vegedow,2-1,Reuben
LOM | Vegedow,2-1,SFO | Ghost
MMG | Abswing,2-1,LOM | Vegedow
ED | Noonez,2-1,KylexxPro
ShaunJS,2-1,ED | Noonez
NFGC | Moogle,2-1,SMBF | Oxidopamine
ShaunJS,2-1,NFGC | Moogle
MBA | Ermok,2-1,Tom B
BTM | Hurricane237,2-1,MBA | Ermok
LOM | MOP LuckboxQ,2-1,Jeebius
d4rkn3ss AvenG,2-1,LOM | MOP LuckboxQ
BTM | Hurricane237,2-1,d4rkn3ss AvenG
BTM | Hurricane237,2-1,ShaunJS
LOM | MOP LuckboxQ,2-1,ED | Neodurge
FLB | Victor,2-1,SMBF | Oxidopamine
ED | Noonez,2-1,BFL | Mr Stabbie
SFO | Ghost,2-1,Star
VS | Hustle Crowe,2-1,DS | Rythla
MBA | Yingah,2-1,Radirgy
Rob-ZFR,2-1,Plats
BSC | Hadoshrooms,2-1,Shindoru
MK Tux,2-1,Kaptain
VSF | Jinty,2-1,Reuben
CONFZ,2-1,KylexxPro
SFO | Nargrull,2-1,Tom B
ChaosTIME_,2-1,Jeebius
ChaosTIME_,2-1,SFO | Nargrull
ChaosTIME_,2-1,Jiji
ED | Kyros,2-1,CONFZ
ED | Kyros,2-1,LOM | Vegedow
VSF | Jinty,2-1,MK Tux
VSF | Jinty,2-1,NFGC | Moogle
BSC | Hadoshrooms,2-1,VapourZz I
d4rkn3ss AvenG,2-1,BSC | Hadoshrooms
Rob-ZFR,2-1,MBA | Yingah
SMBF | YTS ButtFace,2-1,Rob-ZFR
SFO | Ghost,2-1,VS | Hustle Crowe
LOM | MOP LuckboxQ,2-1,MBA | Ermok
LOM | MOP LuckboxQ,2-1,SWW | Rycroft
FLB | Victor,2-1,ED | Noonez
PlatinumKid,2-1,FLB | Victor
PlatinumKid,2-1,LOM | MOP LuckboxQ
SFO | Ghost,2-1,JD
SFO | Ghost,2-1,SMBF | YTS ButtFace
VSF | Jinty,2-1,d4rkn3ss AvenG
ChaosTIME_,2-1,ED | Kyros
RIZE | Infexious,2-1,RDE | Akraat
GxC | Damascus,2-1,Battle Tiger | UM RMZ
Pro Fluke,2-1,MMG | Abswing
PlatinumKid,2-1,MMG | Abswing
SFO | Ghost,2-1,ShaunJS
VSF | Jinty,2-1,RDE | Akraat
Battle Tiger | UM RMZ,2-1,ChaosTIME_
RIZE | Infexious,2-0,GxC | Damascus
BTM | Hurricane237,2-0,Pro Fluke
SFO | Ghost,2-1,PlatinumKid
SFO | Ghost,2-1,GxC | Damascus
Battle Tiger | UM RMZ,2-1,VSF | Jinty
RIZE | Infexious,2-0,BTM | Hurricane237
Pro Fluke,2-1,Battle Tiger | UM RMZ
Pro Fluke,2-1,SFO | Ghost
BTM | Hurricane237,2-1,Pro Fluke
MD | Luffy,,Packz
F-Word,,smL | Solidjin
KIG | Problem X,,Battle Tiger | UM Tyrant
RIZE | Infexious,,BTM | Hurricane237
MD | Luffy,3-0,F-Word
Packz,3-2,smL | Solidjin
Battle Tiger | UM Tyrant,3-2,BTM | Hurricane237
RIZE | Infexious,3-1,KIG | Problem X
KIG | Problem X,3-2,Packz
Battle Tiger | UM Tyrant,3-2,F-Word
MD | Luffy,3-1,RIZE | Infexious
KIG | Problem X,3-0,Battle Tiger | UM Tyrant
KIG | Problem X,3-2,RIZE | Infexious
MD | Luffy,3-1,KIG | Problem X
