winner,rounds,loser
Mov,2-0,蔡楚锋 528000
Chan King Kiu CS|FA,2-1,PARK JKKK hydeBUFFY
Jiewa Seed 2,,Jason Liu satc1014
chan sau cheong Terry,,Lee Siu Kwan DBJ_JohN
GZ-Ben Seed 15,,郭嘉成 Hksiushingshing
潘权迪 xiaoye,,Hon Yu Sum Troublemaker
Lau Chi Hung Joe GameOuttt,,tony tyrant
Chan shing chi XFT_SonicBeta,2-1,Hacken law XFT_HacKen_JP
GZ-Ben Seed 15,2-0,潘权迪 xiaoye
Jason Liu satc1014,,Lee Siu Kwan DBJ_JohN
郭嘉成 Hksiushingshing,,Hon Yu Sum Troublemaker
Hacken law XFT_HacKen_JP,,tony tyrant
Lau Chi Hung Joe GameOuttt,2-0,Chan shing chi XFT_SonicBeta
Chan shing chi XFT_SonicBeta,,Jason Liu satc1014
GZ-Ben Seed 15,2-0,Lau Chi Hung Joe GameOuttt
蔡楚锋 528000,2-1,PARK JKKK hydeBUFFY
Jiewa Seed 2,2-0,chan sau cheong Terry
Mov,2-0,Chan King Kiu CS|FA
蔡楚锋 528000,2-0,潘权迪 xiaoye
Chan King Kiu CS|FA,,郭嘉成 Hksiushingshing
chan sau cheong Terry,2-0,Hacken law XFT_HacKen_JP
Mov,,Jiewa Seed 2
chan sau cheong Terry,2-1,Chan King Kiu CS|FA
Mov,2-0,GZ-Ben Seed 15
蔡楚锋 528000,2-0,Chan shing chi XFT_SonicBeta
chan sau cheong Terry,2-0,Lau Chi Hung Joe GameOuttt
Jiewa Seed 2,,蔡楚锋 528000
Jiewa Seed 2,,chan sau cheong Terry
Jiewa Seed 2,2-0,GZ-Ben Seed 15
Chuan Seed 7,2-0,CHIU SUNG HONG GEXP
Tong Ka wing Kawing,,KaiweiWONG Homer0708
许永宽 斗鱼tv/阿包,2-0,chau pui hing Jeono
JABE XFT JABE,,Tata Chan Tata
東 XFT_TUNG,,罗国樑 RoBerT仔
chau pui hing Jeono,,罗国樑 RoBerT仔
Kubo Kazuo harideshi,2-0,SAOR (IRELAND)
SAOR (IRELAND),,KaiweiWONG Homer0708
许永宽 斗鱼tv/阿包,2-0,東 XFT_TUNG
GL Saunic Seed 10,2-0,Harris Yung kuchi82
Kubo Kazuo harideshi,2-1,Tong Ka wing Kawing
LEUNG YAU CHUN tomo,2-0,MAES Alexis HitThePlane
Chuan Seed 7,2-0,LEUNG YAU CHUN tomo
GL Saunic Seed 10,2-0,JABE XFT JABE
Chuan Seed 7,2-1,许永宽 斗鱼tv/阿包
LEUNG YAU CHUN tomo,2-0,SAOR (IRELAND)
Harris Yung kuchi82,,Tata Chan Tata
CHIU SUNG HONG GEXP,2-0,MAES Alexis HitThePlane
JABE XFT JABE,2-0,chau pui hing Jeono
Kubo Kazuo harideshi,2-1,GL Saunic Seed 10
東 XFT_TUNG,,Harris Yung kuchi82
Tong Ka wing Kawing,2-0,CHIU SUNG HONG GEXP
Chuan Seed 7,2-0,Kubo Kazuo harideshi
Tong Ka wing Kawing,2-0,JABE XFT JABE
東 XFT_TUNG,2-1,LEUNG YAU CHUN tomo
GL Saunic Seed 10,2-0,東 XFT_TUNG
许永宽 斗鱼tv/阿包,2-0,Tong Ka wing Kawing
许永宽 斗鱼tv/阿包,2-1,GL Saunic Seed 10
许永宽 斗鱼tv/阿包,1-2,Kubo Kazuo harideshi
Cheng Chun Hung 天下布武,2-0,lee ka ho YS
CheungYik Memory,,陈智聪 坑头仔
Ricky XFT_SoftEgg,,yip kai cheong barlowlism
HO WAI KIT CS/U2,,Gary Artairias
NiceBlock skenming,2-0,梁伟知 TodayCEO
Ryoji Masaki chanson,2-0,Gonzalez Seed 14
Cord Krohn Ahgama,2-0,李博 B春
梁伟知 TodayCEO,,陈智聪 坑头仔
HO WAI KIT CS/U2,2-0,Cord Krohn Ahgama
拳霸斗鱼小孩 Seed 3,2-0,Cheng Chun Hung 天下布武
李博 B春,,Gary Artairias
Gonzalez Seed 14,,yip kai cheong barlowlism
CheungYik Memory,2-0,NiceBlock skenming
拳霸斗鱼小孩 Seed 3,2-1,HO WAI KIT CS/U2
NiceBlock skenming,2-0,lee ka ho YS
Gonzalez Seed 14,2-0,Cord Krohn Ahgama
梁伟知 TodayCEO,2-0,Cheng Chun Hung 天下布武
Ricky XFT_SoftEgg,2-0,Ryoji Masaki chanson
Ryoji Masaki chanson,2-0,李博 B春
CheungYik Memory,2-1,Ricky XFT_SoftEgg
Ryoji Masaki chanson,2-1,NiceBlock skenming
HO WAI KIT CS/U2,2-0,Ryoji Masaki chanson
Gonzalez Seed 14,2-1,梁伟知 TodayCEO
Gonzalez Seed 14,2-0,Ricky XFT_SoftEgg
拳霸斗鱼小孩 Seed 3,2-0,CheungYik Memory
Gonzalez Seed 14,2-1,HO WAI KIT CS/U2
Gonzalez Seed 14,2-0,CheungYik Memory
Jimmy Hon MaskJimmy,2-0,Ip hoi wang XFT_whip
林勝為 rockpon,2-0,黄洁 Shermie（虾米）
KOK Seed 12,2-0,Teddy XFT_TeddyBear
Ip hoi wang XFT_whip,2-0,Teddy XFT_TeddyBear
kay zhong kay(FS),2-0,Wong Chun Yin Denesis
du yong quan FSLONG,,Kenneth Hystericyuu
Wong Chun Yin Denesis,,Kenneth Hystericyuu
Kenneth Lai Thunder 9,,あうぇ４ ｈｇｓｄが
CCG | Humanbomb Seed 6,2-0,Willis
kay zhong kay(FS),2-0,du yong quan FSLONG
周怿 angle,2-0,Tony Tsui gummy2015
林勝為 rockpon,2-0,周怿 angle
KOK Seed 12,2-1,Jimmy Hon MaskJimmy
Willis,,あうぇ４ ｈｇｓｄが
Ip hoi wang XFT_whip,2-1,du yong quan FSLONG
黄洁 Shermie（虾米）,2-0,Tony Tsui gummy2015
周怿 angle,2-0,Willis
CCG | Humanbomb Seed 6,2-0,Kenneth Lai Thunder 9
Jimmy Hon MaskJimmy,2-1,Wong Chun Yin Denesis
周怿 angle,2-1,Jimmy Hon MaskJimmy
黄洁 Shermie（虾米）,2-1,Kenneth Lai Thunder 9
Ip hoi wang XFT_whip,2-0,黄洁 Shermie（虾米）
CCG | Humanbomb Seed 6,2-1,kay zhong kay(FS)
KOK Seed 12,2-0,林勝為 rockpon
kay zhong kay(FS),2-1,周怿 angle
Ip hoi wang XFT_whip,2-0,林勝為 rockpon
CCG | Humanbomb Seed 6,2-0,KOK Seed 12
kay zhong kay(FS),2-0,Ip hoi wang XFT_whip
KOK Seed 12,2-0,kay zhong kay(FS)
Infiltration,2-0,YBK Shiro
Misse,2-0,Codynp
MOV,2-0,CHUAN
Tonpy,2-0,Rzr rb
Qanba douyu dakou,2-0,Baoice
JIEWA,2-0,QANBA DOUYU AHBAO
Tonpy,2-1,CHUAN
CCG HUMANBOMB,2-0,QANBA DOUYU XIAOHAI
JIEWA,2-0,Codynp
GONZALES,2-1,KOK
QANBA DOUYU XIAOHAI,2-1,Qanba douyu dakou
YBK Shiro,2-0,GONZALES
Infiltration,3-0,Misse
MOV,3-1,CCG HUMANBOMB
Tonpy,3-0,QANBA DOUYU XIAOHAI
JIEWA,3-1,YBK Shiro
Tonpy,3-0,Misse
JIEWA,3-1,CCG HUMANBOMB
Infiltration,3-0,MOV
Tonpy,3-0,JIEWA
MOV,3-1,Tonpy
Infiltration,3-0,MOV
