winner,rounds,loser
郑凯 znk,2-1,章毅骏 阿骏
郑凯 znk,,徐云龙 ShinXCloud
梁伟知 TodayCEO,,赵渭炯 小迷
刘斌 Sandro,,郑凯 znk
RZR Xian Rank 2,,ab ab
刘斌 Sandro,,梁伟知 TodayCEO
ab ab,,刘斌 Sandro
RZR Xian Rank 2,,ab ab
胡寅辰 Justin hu,,朱忠旻 PS手柄渣
Tonpy Rank 7,,胡寅辰 Justin hu
DouyuTV | CuiShao,,Yong Zhu DDJ | Yong
吴滨 MarsTV.Cornetto,,古奇 古奇
小嘉米 木有黑眼圈,,蔡钦 烈火麦当劳
郑焕琳 Huanlin,2-1,邓智斌 GZ-Ben 
小嘉米 木有黑眼圈,,Joel Hosty05
朱忠旻 PS手柄渣,,Joel Hosty05
胡寅辰 Justin hu,,蔡钦 烈火麦当劳
Douyu Qanba Dakou Rank 10,,吴滨 MarsTV.Cornetto
Douyu Qanba Dakou Rank 10,,小嘉米 木有黑眼圈
郑焕琳 Huanlin,,DouyuTV | CuiShao
郑焕琳 Huanlin,,Tonpy Rank 7
DouyuTV | CuiShao,,古奇 古奇
邓智斌 GZ-Ben,,Yong Zhu DDJ | Yong
邓智斌 GZ-Ben,,吴滨 MarsTV.Cornetto
邓智斌 GZ-Ben,,朱忠旻 PS手柄渣
DouyuTV | CuiShao,,胡寅辰 Justin hu
DouyuTV | CuiShao,,小嘉米 木有黑眼圈
邓智斌 GZ-Ben,,Tonpy Rank 7
邓智斌 GZ-Ben,,DouyuTV | CuiShao
Douyu Qanba Dakou Rank 10,,郑焕琳 Huanlin
邓智斌 GZ-Ben,,郑焕琳 Huanlin
LaoShenJiang,,Xiaowei Xia MoHai
司超 群顿,,Jing
DouyuTV | Bei Bei,,范伦豪 MarS
kang 康,,Tyson
邢岚 烤鱼,,屠双奇 T mug
Jiewa Rank 3,,DouyuTV | Bei Bei
司超 群顿,,LaoShenJiang
邢岚 烤鱼,,kang 康
Jing,,Xiaowei Xia MoHai
kang 康,,范伦豪 MarS
屠双奇 T mug,,Tyson
DouyuTV | God of Sky,,谢文斌 dudu
DouyuTV | God of Sky,,JunkoHawley 19
Jing,,JunkoHawley 19
kang 康,,Jing
DouyuTV | Bei Bei,,屠双奇 T mug
DouyuTV | God of Sky,,邢岚 烤鱼
司超 群顿,,Jiewa Rank 3
Jiewa Rank 3,,kang 康
谢文斌 dudu,,LaoShenJiang
DouyuTV | Bei Bei,,谢文斌 dudu
DouyuTV | Bei Bei,,邢岚 烤鱼
DouyuTV | God of Sky,,司超 群顿
Jiewa Rank 3,,DouyuTV | Bei Bei
Jiewa Rank 3,,司超 群顿
xiao JJ,,lcx lcx1988
ZhuDongYu,,吕尔德 八神
DouyuTV | 红中大大,,萧说说 萧说说
DouyuTV | QQEL,,林帆 lingfan500
吕尔德 八神,,lcx lcx1988
张鸣 Niku,,DianPao
xiao JJ,,ZhuDongYu
ZhuDongYu,,林帆 lingfan500
张鸣 Niku,,Justin Chu darkras
萧说说 萧说说,,Justin Chu darkras
DouyuTV | QQEL,,Quiquikof Rank 11
Quiquikof Rank 11,,吕尔德 八神
Quiquikof Rank 11,,萧说说 萧说说
CCG Humanbomb Rank 6,,DouyuTV | 红中大大
DouyuTV | QQEL,,张鸣 Niku
DouyuTV | 红中大大,,DianPao
DouyuTV | 红中大大,,ZhuDongYu
CCG Humanbomb Rank 6,,xiao JJ
DouyuTV | 红中大大,,张鸣 Niku
CCG Humanbomb Rank 6,,DouyuTV | QQEL
Quiquikof Rank 11,,xiao JJ
Quiquikof Rank 11,,DouyuTV | 红中大大
DouyuTV | QQEL,,Quiquikof Rank 11
MCZ Tokido,,Xiaolong
KOK,,DouyuTV | Hurtch_VR
Ab Ab,,GZ-Ben
CCG Human bomb,,DouyuTV | God of Sky
Chengfei,,DouyuTV | Abang
DouyuTV | QQEL,,Dark Jiewa
RZR Xian,,DouyuTV | Qanba Dakou
DouyuTV | Qanba Xiaohai,,RZR Fuudo
DouyuTV | QQEL,,Xiaolong
KOK,,DouyuTV | God of Sky
DouyuTV | Qanba Dakou,,Chengfei
MCZ Tokido,,DouyuTV | Qanba Xiaohai
RZR Fuudo,,Ab Ab
RZR Xian,,CCG Human bomb
DouyuTV | QQEL,2-1,RZR Fuudo
DouyuTV | Qanba Dakou,,KOK
RZR Xian,3-2,MCZ Tokido
DouyuTV | Qanba Xiaohai,3-2,DouyuTV | Qanba Dakou
CCG Human bomb,,DouyuTV | QQEL
DouyuTV | Qanba Xiaohai,,CCG Human bomb
DouyuTV | Qanba Xiaohai,3-0,MCZ Tokido
RZR Xian,3-1,DouyuTV | Qanba Xiaohai
